MonitoringLocationIdentifier,ActivityStartDate,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode
USGS-06446200,1966-11-28,Nitrate,0.113,mg/l as N
USGS-06446200,1966-11-28,Nitrate,0.5,mg/l asNO3
USGS-06445700,1967-03-01,Nitrate,0.068,mg/l as N
USGS-06445700,1967-03-01,Nitrate,0.3,mg/l asNO3
USGS-06445700,1967-05-07,Nitrate,0.136,mg/l as N
USGS-06445700,1967-05-07,Nitrate,0.6,mg/l asNO3
USGS-06446200,1966-03-09,Nitrate,0.52,mg/l as N
USGS-06446200,1966-03-09,Nitrate,2.3,mg/l asNO3
USGS-06446200,1966-09-14,Nitrate,1.9,mg/l as N
USGS-06446200,1966-09-14,Nitrate,8.4,mg/l asNO3
USGS-06445700,1966-08-20,Nitrate,0.678,mg/l as N
USGS-06445700,1966-08-20,Nitrate,3.0,mg/l asNO3
USGS-06445700,1967-09-01,Nitrate,0.068,mg/l as N
USGS-06445700,1967-09-01,Nitrate,0.3,mg/l asNO3
USGS-06445700,1966-10-20,Nitrate,0.045,mg/l as N
USGS-06445700,1966-10-20,Nitrate,0.2,mg/l asNO3
USGS-06445700,1966-03-01,Nitrate,0.633,mg/l as N
USGS-06445700,1966-03-01,Nitrate,2.8,mg/l asNO3
USGS-06446200,1967-05-26,Nitrate,0.384,mg/l as N
USGS-06446200,1967-05-26,Nitrate,1.7,mg/l asNO3
USGS-06446200,1966-02-01,Nitrate,0.045,mg/l as N
USGS-06446200,1966-02-01,Nitrate,0.2,mg/l asNO3
USGS-06445700,1967-05-27,Nitrate,0.361,mg/l as N
USGS-06445700,1967-05-27,Nitrate,1.6,mg/l asNO3
USGS-06445700,1967-05-10,Nitrate,0.429,mg/l as N
USGS-06445700,1967-05-10,Nitrate,1.9,mg/l asNO3
USGS-06445700,1967-06-09,Nitrate,0.542,mg/l as N
USGS-06445700,1967-06-09,Nitrate,2.4,mg/l asNO3
USGS-06445700,1966-07-29,Nitrate,0.904,mg/l as N
USGS-06445700,1966-07-29,Nitrate,4.0,mg/l asNO3
USGS-06445700,1967-06-07,Nitrate,0.203,mg/l as N
USGS-06445700,1967-06-07,Nitrate,0.9,mg/l asNO3
USGS-06446200,1966-05-25,Nitrate,0.023,mg/l as N
USGS-06446200,1966-05-25,Nitrate,0.1,mg/l asNO3
USGS-06446200,1967-08-05,Nitrate,0.023,mg/l as N
USGS-06446200,1967-08-05,Nitrate,0.1,mg/l asNO3
USGS-06445700,1966-07-01,Nitrate,0.678,mg/l as N
USGS-06445700,1966-07-01,Nitrate,3.0,mg/l asNO3
USGS-06446200,1966-03-01,Nitrate,0.384,mg/l as N
USGS-06446200,1966-03-01,Nitrate,1.7,mg/l asNO3
USGS-06446200,1966-04-27,Nitrate,0.361,mg/l as N
USGS-06446200,1966-04-27,Nitrate,1.6,mg/l asNO3
USGS-06446200,1966-07-19,Nitrate,1.33,mg/l as N
USGS-06446200,1966-07-19,Nitrate,5.9,mg/l asNO3
USGS-06446200,1967-02-01,Nitrate,0.09,mg/l as N
USGS-06446200,1967-02-01,Nitrate,0.4,mg/l asNO3
USGS-06446200,1967-05-17,Nitrate,0.113,mg/l as N
USGS-06446200,1967-05-17,Nitrate,0.5,mg/l asNO3
USGS-06445700,1965-05-17,Nitrate,0.068,mg/l as N
USGS-06445700,1965-05-17,Nitrate,0.3,mg/l asNO3
USGS-06445700,1965-05-21,Nitrate,1.04,mg/l as N
USGS-06445700,1965-05-21,Nitrate,4.6,mg/l asNO3
USGS-06445700,1966-04-24,Nitrate,0.407,mg/l as N
USGS-06445700,1966-04-24,Nitrate,1.8,mg/l asNO3
USGS-06446200,1966-08-30,Nitrate,0.045,mg/l as N
USGS-06446200,1966-08-30,Nitrate,0.2,mg/l asNO3
USGS-06446200,1966-04-01,Nitrate,0.068,mg/l as N
USGS-06446200,1966-04-01,Nitrate,0.3,mg/l asNO3
USGS-06446200,1967-01-31,Nitrate,0.203,mg/l as N
USGS-06446200,1967-01-31,Nitrate,0.9,mg/l asNO3
USGS-06446200,1967-03-21,Nitrate,0.136,mg/l as N
USGS-06446200,1967-03-21,Nitrate,0.6,mg/l asNO3
USGS-06446200,1965-10-16,Nitrate,0.384,mg/l as N
USGS-06446200,1965-10-16,Nitrate,1.7,mg/l asNO3
USGS-06445700,1966-08-22,Nitrate,0.181,mg/l as N
USGS-06445700,1966-08-22,Nitrate,0.8,mg/l asNO3
USGS-06446200,1966-09-03,Nitrate,0.113,mg/l as N
USGS-06446200,1966-09-03,Nitrate,0.5,mg/l asNO3
USGS-06445700,1967-05-19,Nitrate,0.158,mg/l as N
USGS-06445700,1967-05-19,Nitrate,0.7,mg/l asNO3
USGS-06446200,1967-06-16,Nitrate,0.136,mg/l as N
USGS-06446200,1967-06-16,Nitrate,0.6,mg/l asNO3
USGS-06445700,1966-04-26,Nitrate,0.045,mg/l as N
USGS-06445700,1966-04-26,Nitrate,0.2,mg/l asNO3
USGS-06446200,1967-04-13,Nitrate,0.971,mg/l as N
USGS-06446200,1967-04-13,Nitrate,4.3,mg/l asNO3
USGS-06446200,1965-09-14,Nitrate,0.045,mg/l as N
USGS-06446200,1965-09-14,Nitrate,0.2,mg/l asNO3
USGS-06446200,1966-09-07,Nitrate,0.045,mg/l as N
USGS-06446200,1966-09-07,Nitrate,0.2,mg/l asNO3
USGS-06445700,1966-03-09,Nitrate,0.474,mg/l as N
USGS-06445700,1966-03-09,Nitrate,2.1,mg/l asNO3
USGS-06445700,1970-11-16,Nitrate,0.3,mg/l as N
USGS-06445700,1970-11-16,Nitrate,1.5,mg/l asNO3
USGS-06445980,1990-07-10,Nitrate,0.27,mg/l as N
USGS-06445980,1990-07-10,Nitrate,1.2,mg/l asNO3
SDDENR_WQX-460842,1978-01-03,Nitrate,0.5,mg/L
SDDENR_WQX-460842,1977-12-12,Nitrate,0.3,mg/L
SDDENR_WQX-460842,1979-07-09,Nitrate,1.0,mg/L
SDDENR_WQX-460842,1977-08-24,Nitrate,1.0,mg/L
SDDENR_WQX-460842,1979-03-09,Nitrate,0.8,mg/L
SDDENR_WQX-460842,1977-04-12,Nitrate,0.2,mg/L
SDDENR_WQX-460842,1979-08-15,Nitrate,0.7,mg/L
SDDENR_WQX-460842,1975-05-04,Nitrate,0.56,mg/L
SDDENR_WQX-460842,1976-06-22,Nitrate,0.41,mg/L
SDDENR_WQX-460842,1975-01-15,Nitrate,0.82,mg/L
SDDENR_WQX-460842,1979-03-20,Nitrate,0.2,mg/L
SDDENR_WQX-460842,1979-04-12,Nitrate,0.3,mg/L
SDDENR_WQX-460842,1977-01-26,Nitrate,0.37,mg/L
SDDENR_WQX-460842,1978-07-06,Nitrate,0.2,mg/L
SDDENR_WQX-460842,1978-04-04,Nitrate,0.3,mg/L
SDDENR_WQX-460842,1977-07-27,Nitrate,0.1,mg/L
SDDENR_WQX-460842,1979-02-06,Nitrate,0.6,mg/L
SDDENR_WQX-460842,1979-12-11,Nitrate,0.18,mg/L
SDDENR_WQX-460842,1978-05-03,Nitrate,0.3,mg/L
SDDENR_WQX-460842,1977-09-28,Nitrate,0.1,mg/L
SDDENR_WQX-460842,1980-10-07,Nitrate,0.24,mg/L
SDDENR_WQX-460842,1980-06-30,Nitrate,0.55,mg/L
SDDENR_WQX-460842,1980-01-15,Nitrate,0.63,mg/L
SDDENR_WQX-460842,1980-04-09,Nitrate,0.6,mg/L
SDDENR_WQX-460842,1980-05-06,Nitrate,0.25,mg/L
SDDENR_WQX-460842,1980-12-09,Nitrate,0.1,mg/L
SDDENR_WQX-460842,1980-02-06,Nitrate,0.56,mg/L
SDDENR_WQX-460842,1980-06-04,Nitrate,0.16,mg/L
SDDENR_WQX-460842,1980-03-04,Nitrate,0.52,mg/L
SDDENR_WQX-460842,1980-08-07,Nitrate,0.22,mg/L
SDDENR_WQX-460842,1981-03-05,Nitrate,0.16,mg/L
SDDENR_WQX-460842,1981-11-03,Nitrate,0.11,mg/L
SDDENR_WQX-460842,1981-07-06,Nitrate,0.45,mg/L
SDDENR_WQX-460842,1981-02-04,Nitrate,0.21,mg/L
SDDENR_WQX-460842,1982-06-15,Nitrate,3.6,mg/L
SDDENR_WQX-460842,1982-08-18,Nitrate,0.54,mg/L
SDDENR_WQX-460842,1982-07-19,Nitrate,0.8,mg/L
SDDENR_WQX-460842,1982-05-05,Nitrate,0.23,mg/L
SDDENR_WQX-460842,1982-04-06,Nitrate,0.32,mg/L
SDDENR_WQX-460842,1988-11-20,Nitrate,0.16,mg/L
SDDENR_WQX-460842,1988-01-19,Nitrate,0.95,mg/L
SDDENR_WQX-460842,1988-04-20,Nitrate,0.16,mg/L
SDDENR_WQX-460842,1989-01-09,Nitrate,0.61,mg/L
SDDENR_WQX-460842,1989-04-04,Nitrate,0.2,mg/L
SDDENR_WQX-460842,1990-10-15,Nitrate,0.11,mg/L
SDDENR_WQX-460842,1990-01-08,Nitrate,0.23,mg/L
SDDENR_WQX-460842,1990-04-09,Nitrate,0.11,mg/L
SDDENR_WQX-460842,1990-07-16,Nitrate,0.72,mg/L
SDDENR_WQX-460842,1991-07-10,Nitrate,0.61,mg/L
SDDENR_WQX-460842,1991-01-08,Nitrate,0.18,mg/L
SDDENR_WQX-460842,1991-10-15,Nitrate,0.18,mg/L
SDDENR_WQX-460842,1992-07-22,Nitrate,0.56,mg/L
SDDENR_WQX-460842,1992-01-13,Nitrate,0.48,mg/L
SDDENR_WQX-460842,1992-10-14,Nitrate,0.26,mg/L
OGLALAST-MRC3,1993-11-15,Nitrate,2.65,mg/L
OGLALAST-PC2,1993-05-15,Nitrate,0.24,mg/L
OGLALAST-WR3,1993-11-15,Nitrate,1.43,mg/L
OGLALAST-WK3,1993-11-15,Nitrate,0.4,mg/L
OGLALAST-PC1,1993-11-15,Nitrate,0.49,mg/L
OGLALAST-WR2,1993-05-15,Nitrate,0.32,mg/L
OGLALAST-PC1,1993-05-15,Nitrate,0.2,mg/L
OGLALAST-WCC1,1993-11-15,Nitrate,0.99,mg/L
OGLALAST-WK1,1993-05-15,Nitrate,0.26,mg/L
OGLALAST-WR1,1993-11-15,Nitrate,0.8,mg/L
OGLALAST-PC3,1993-05-15,Nitrate,0.13,mg/L
OGLALAST-MRC2,1993-05-15,Nitrate,0.12,mg/L
OGLALAST-WK4,1993-05-15,Nitrate,0.22,mg/L
SDDENR_WQX-460842,1993-01-19,Nitrate,1.2,mg/L
OGLALAST-WR3,1993-05-15,Nitrate,0.42,mg/L
OGLALAST-WK1,1993-11-15,Nitrate,0.14,mg/L
SDDENR_WQX-460842,1993-07-27,Nitrate,0.31,mg/L
OGLALAST-AHC1,1993-11-15,Nitrate,0.12,mg/L
OGLALAST-PC3,1993-11-15,Nitrate,0.23,mg/L
OGLALAST-WK4,1993-11-15,Nitrate,0.26,mg/L
OGLALAST-WCC1,1993-05-15,Nitrate,1.33,mg/L
OGLALAST-WK3,1993-05-15,Nitrate,0.21,mg/L
OGLALAST-CR1,1993-11-15,Nitrate,3.22,mg/L
OGLALAST-AHC1,1993-05-15,Nitrate,0.1,mg/L
OGLALAST-WCC2,1993-05-15,Nitrate,0.14,mg/L
OGLALAST-WR1,1993-05-15,Nitrate,0.13,mg/L
OGLALAST-WR2,1993-11-15,Nitrate,0.84,mg/L
OGLALAST-MRC3,1993-05-15,Nitrate,0.24,mg/L
OGLALAST-WK1,1994-11-15,Nitrate,0.3,mg/L
OGLALAST-WCC2,1994-11-15,Nitrate,0.57,mg/L
OGLALAST-PC1,1994-05-15,Nitrate,0.27,mg/L
OGLALAST-WC1,1994-11-15,Nitrate,0.1,mg/L
OGLALAST-CR1,1994-11-15,Nitrate,0.15,mg/L
OGLALAST-WK2,1994-11-15,Nitrate,0.25,mg/L
OGLALAST-PC1,1994-11-15,Nitrate,0.25,mg/L
OGLALAST-PC2,1994-11-15,Nitrate,0.2,mg/L
OGLALAST-WK1,1994-05-15,Nitrate,0.13,mg/L
SDDENR_WQX-460842,1994-01-04,Nitrate,0.12,mg/L
OGLALAST-WK2,1994-05-15,Nitrate,0.13,mg/L
OGLALAST-WCC1,1994-11-15,Nitrate,0.6,mg/L
OGLALAST-WCC2,1994-05-15,Nitrate,0.24,mg/L
OGLALAST-MRC3,1995-05-15,Nitrate,0.23,mg/L
OGLALAST-PC3,1995-11-15,Nitrate,0.1,mg/L
OGLALAST-MRC1,1995-11-15,Nitrate,0.15,mg/L
OGLALAST-WK1,1995-11-15,Nitrate,0.38,mg/L
OGLALAST-WK1,1995-05-15,Nitrate,0.18,mg/L
OGLALAST-WR2,1995-05-15,Nitrate,0.43,mg/L
OGLALAST-WR1,1995-11-15,Nitrate,0.24,mg/L
SDDENR_WQX-460842,1995-07-25,Nitrate,0.029,mg/L
OGLALAST-WCC2,1995-05-15,Nitrate,0.25,mg/L
OGLALAST-WR1,1995-05-15,Nitrate,0.42,mg/L
OGLALAST-WCC2,1995-11-15,Nitrate,0.3,mg/L
OGLALAST-WK3,1995-05-15,Nitrate,0.25,mg/L
OGLALAST-WK4,1995-05-15,Nitrate,0.53,mg/L
OGLALAST-AHC1,1995-05-15,Nitrate,0.11,mg/L
SDDENR_WQX-460842,1995-04-25,Nitrate,0.28,mg/L
OGLALAST-CR1,1995-05-15,Nitrate,0.22,mg/L
OGLALAST-CR1,1995-11-15,Nitrate,0.95,mg/L
OGLALAST-WCC1,1995-05-15,Nitrate,0.6,mg/L
OGLALAST-WCC1,1995-11-15,Nitrate,0.85,mg/L
SDDENR_WQX-460842,1996-07-16,Nitrate,0.4,mg/L
OGLALAST-WC1,1996-05-15,Nitrate,0.17,mg/L
OGLALAST-MRC1,1996-11-15,Nitrate,0.7,mg/L
OGLALAST-PC2,1996-11-15,Nitrate,0.2,mg/L
OGLALAST-PC1,1996-05-15,Nitrate,0.14,mg/L
OGLALAST-WR3,1996-11-15,Nitrate,0.9,mg/L
OGLALAST-CR1,1996-05-15,Nitrate,0.4,mg/L
OGLALAST-CR1,1996-11-15,Nitrate,1.2,mg/L
OGLALAST-WK1,1996-11-15,Nitrate,0.6,mg/L
OGLALAST-WCC1,1996-11-15,Nitrate,0.9,mg/L
OGLALAST-MRC2,1996-05-15,Nitrate,0.2,mg/L
OGLALAST-WCC2,1996-11-15,Nitrate,0.2,mg/L
OGLALAST-MRC1,1996-05-15,Nitrate,0.6,mg/L
OGLALAST-WCC1,1996-05-15,Nitrate,0.4,mg/L
OGLALAST-WCC2,1996-05-15,Nitrate,0.01,mg/L
SDDENR_WQX-460842,1996-01-09,Nitrate,0.62,mg/L
SDDENR_WQX-460842,1996-04-24,Nitrate,0.12,mg/L
OGLALAST-PC1,1996-11-15,Nitrate,0.5,mg/L
OGLALAST-WK1,1997-11-15,Nitrate,0.6,mg/L
OGLALAST-WR2,1997-05-15,Nitrate,0.24,mg/L
OGLALAST-AHC1,1997-05-15,Nitrate,0.44,mg/L
OGLALAST-PC3,1997-05-15,Nitrate,0.07,mg/L
OGLALAST-WK1,1997-05-15,Nitrate,0.24,mg/L
OGLALAST-WR1,1997-05-15,Nitrate,0.25,mg/L
OGLALAST-WCC2,1997-11-15,Nitrate,0.16,mg/L
OGLALAST-WCC1,1997-05-15,Nitrate,0.88,mg/L
OGLALAST-MRC3,1997-05-15,Nitrate,0.27,mg/L
OGLALAST-WCC1,1997-11-15,Nitrate,1.1,mg/L
OGLALAST-WR3,1997-05-15,Nitrate,0.59,mg/L
OGLALAST-WCC2,1997-05-15,Nitrate,0.34,mg/L
OGLALAST-PC1,1997-11-15,Nitrate,0.63,mg/L
OGLALAST-WC1,1997-05-15,Nitrate,0.26,mg/L
OGLALAST-WC1,1997-11-15,Nitrate,0.07,mg/L
OGLALAST-CR1,1997-11-15,Nitrate,1.31,mg/L
OGLALAST-CR1,1997-05-15,Nitrate,0.19,mg/L
OGLALAST-CR2,1997-11-15,Nitrate,1.03,mg/L
OGLALAST-PC1,1997-05-15,Nitrate,0.52,mg/L
OGLALAST-CR1,1998-05-15,Nitrate,0.26,mg/L
OGLALAST-WCC2,1998-05-15,Nitrate,0.07,mg/L
OGLALAST-WCC1,1998-05-15,Nitrate,0.69,mg/L
OGLALAST-PC1,1998-05-15,Nitrate,0.24,mg/L
NARS_WQX-WSDP99-0522,2000-07-11,Nitrate,38.6,ueq/L
NARS_WQX-WSDP99-0501,2000-07-11,Nitrate,28.6,ueq/L
NARS_WQX-WSDP99-0579,2001-09-04,Nitrate,0.0,ueq/L
NARS_WQX-WSDP99-0599,2002-06-19,Nitrate,3.6,ueq/L
NARS_WQX-WSDP99-0658,2003-06-17,Nitrate,0.0,ueq/L
NARS_WQX-FW08SD046,2008-08-20,Nitrate,0.0,mg/L
NARS_WQX-FW08SD004,2008-08-01,Nitrate,0.51254,mg/L
NARS_WQX-FW08SD019,2008-07-30,Nitrate,0.05909,mg/L
NARS_WQX-FW08SD058,2008-07-31,Nitrate,0.0,mg/L
NARS_WQX-FW08SD012,2008-07-29,Nitrate,0.0,mg/L
NARS_WQX-SDR9-0915,2014-08-21,Nitrate,0.019,mg N/l******
NARS_WQX-SDRM-1014,2014-08-20,Nitrate,0.0,mg N/l******
NARS_WQX-SDLS-1117,2014-08-20,Nitrate,0.096,mg N/l******
OGLALAST-WR3,2015-07-14,Nitrate,0.306,mg/L
OGLALAST-MRC1,2015-07-14,Nitrate,0.397,mg/L
OGLALAST-MRC3,2015-07-14,Nitrate,0.395,mg/L
OGLALAST-AHC1,2015-07-14,Nitrate,0.31,mg/L
OGLALAST-CR1,2016-10-26,Nitrate,0.926,mg/L
OGLALAST-CR2,2016-05-24,Nitrate,0.486,mg/L
OGLALAST-CR1,2016-05-24,Nitrate,0.496,mg/L
OGLALAST-WR3,2016-05-24,Nitrate,0.107,mg/L
OGLALAST-CR2,2016-10-26,Nitrate,0.951,mg/L
OGLALAST-CR2,2016-09-29,Nitrate,0.549,mg/L
OGLALAST-WR1,2016-08-24,Nitrate,0.507,mg/L
OGLALAST-WR2,2016-09-28,Nitrate,0.331,mg/L
OGLALAST-CR1,2016-06-22,Nitrate,0.199,mg/L
OGLALAST-WR2,2016-06-21,Nitrate,0.446,mg/L
OGLALAST-WR1,2016-09-28,Nitrate,0.643,mg/L
OGLALAST-WR3,2016-06-21,Nitrate,0.229,mg/L
OGLALAST-WR2,2016-10-25,Nitrate,0.465,mg/L
OGLALAST-WR1,2016-10-25,Nitrate,0.468,mg/L
OGLALAST-WR3,2016-08-23,Nitrate,0.422,mg/L
OGLALAST-CR1,2016-09-29,Nitrate,0.538,mg/L
OGLALAST-CR2,2016-08-25,Nitrate,0.183,mg/L
OGLALAST-CR1,2016-08-25,Nitrate,0.175,mg/L
OGLALAST-CR2,2016-06-22,Nitrate,0.197,mg/L
OGLALAST-WR3,2016-09-28,Nitrate,0.498,mg/L
OGLALAST-WR2,2016-07-19,Nitrate,0.342,mg/L
OGLALAST-WR3,2016-10-25,Nitrate,0.056,mg/L
OGLALAST-WR1,2016-05-23,Nitrate,0.081,mg/L
OGLALAST-WR3,2016-07-19,Nitrate,0.548,mg/L
OGLALAST-WR3,2016-05-24,Nitrate,0.348,mg/L
OGLALAST-WR1,2016-07-19,Nitrate,0.362,mg/L
OGLALAST-WR1,2016-06-21,Nitrate,0.297,mg/L
OGLALAST-WR3,2017-07-20,Nitrate,0.313,mg/L
OGLALAST-CR2,2017-07-27,Nitrate,0.08,mg/L
OGLALAST-CR1,2017-09-14,Nitrate,0.222,mg/L
OGLALAST-CR1,2017-05-25,Nitrate,0.285,mg/L
OGLALAST-WR2,2017-06-20,Nitrate,0.259,mg/L
OGLALAST-CR1,2017-06-14,Nitrate,0.301,mg/L
OGLALAST-WR3,2017-09-12,Nitrate,0.65,mg/L
OGLALAST-CR2,2017-08-23,Nitrate,0.119,mg/L
OGLALAST-CR2,2017-09-14,Nitrate,0.201,mg/L
OGLALAST-CR1,2017-08-23,Nitrate,0.128,mg/L
OGLALAST-WR1,2017-07-25,Nitrate,0.321,mg/L
OGLALAST-WR2,2017-09-12,Nitrate,0.207,mg/L
OGLALAST-WR3,2017-06-20,Nitrate,0.085,mg/L
OGLALAST-CR2,2017-06-14,Nitrate,0.32,mg/L
OGLALAST-CR1,2017-07-27,Nitrate,0.09,mg/L
OGLALAST-WR1,2017-08-15,Nitrate,0.351,mg/L
OGLALAST-WR1,2017-09-13,Nitrate,0.455,mg/L
OGLALAST-CR2,2017-05-25,Nitrate,0.311,mg/L
OGLALAST-WR3,2017-08-14,Nitrate,0.052,mg/L
OGLALAST-WR3,2017-05-23,Nitrate,0.062,mg/L
OGLALAST-WCC2,2018-08-16,Nitrate,0.1,mg/L
OGLALAST-WK2,2018-09-24,Nitrate,0.109,mg/L
OGLALAST-WC1,2018-06-26,Nitrate,0.216,mg/L
OGLALAST-WCC1,2018-05-10,Nitrate,0.598,mg/L
OGLALAST-WK2,2018-07-23,Nitrate,0.176,mg/L
OGLALAST-PC1,2018-07-19,Nitrate,0.134,mg/L
OGLALAST-PC1,2018-08-09,Nitrate,0.134,mg/L
OGLALAST-WCC1,2018-06-07,Nitrate,0.921,mg/L
OGLALAST-WCC1,2018-10-15,Nitrate,1.21,mg/L
OGLALAST-WK4,2018-08-16,Nitrate,0.111,mg/L
OGLALAST-PC2,2018-08-09,Nitrate,0.05,mg/L
OGLALAST-WR2,2018-07-31,Nitrate,0.192,mg/L
OGLALAST-WCC2,2018-06-12,Nitrate,0.113,mg/L
OGLALAST-WK1,2018-06-26,Nitrate,0.341,mg/L
OGLALAST-WC1,2018-08-13,Nitrate,0.144,mg/L
OGLALAST-WR2,2018-10-16,Nitrate,0.066,mg/L
OGLALAST-WK1,2018-10-15,Nitrate,0.542,mg/L
OGLALAST-WCC1,2018-09-17,Nitrate,0.79,mg/L
OGLALAST-PC3,2018-08-22,Nitrate,0.091,mg/L
OGLALAST-WCC1,2018-08-16,Nitrate,0.848,mg/L
OGLALAST-WK2,2018-08-22,Nitrate,0.168,mg/L
OGLALAST-WCC1,2018-07-30,Nitrate,0.876,mg/L
OGLALAST-WK1,2018-05-14,Nitrate,0.188,mg/L
OGLALAST-WK1,2018-08-13,Nitrate,0.431,mg/L
OGLALAST-WK4,2018-05-24,Nitrate,0.247,mg/L
OGLALAST-WR1,2018-05-23,Nitrate,0.525,mg/L
OGLALAST-WK1,2018-09-24,Nitrate,0.39,mg/L
OGLALAST-WK4,2018-10-29,Nitrate,0.061,mg/L
OGLALAST-WR1,2018-06-13,Nitrate,0.344,mg/L
OGLALAST-PC3,2018-07-24,Nitrate,0.255,mg/L
OGLALAST-WK2,2018-06-27,Nitrate,0.08,mg/L
OGLALAST-WK1,2018-07-23,Nitrate,0.412,mg/L
OGLALAST-WC1,2018-05-22,Nitrate,0.211,mg/L
OGLALAST-WC1,2019-09-18,Nitrate,0.467,mg/L
OGLALAST-WCC1,2019-10-07,Nitrate,1.02,mg/L
OGLALAST-WK1,2019-09-17,Nitrate,0.464,mg/L
OGLALAST-WCC2,2019-10-07,Nitrate,1.02,mg/L
OGLALAST-PC3,2019-08-20,Nitrate,0.141,mg/L
OGLALAST-WCC1,2019-05-13,Nitrate,0.53,mg/L
OGLALAST-PC2,2019-07-22,Nitrate,0.164,mg/L
OGLALAST-WCC1,2019-08-19,Nitrate,1.15,mg/L
OGLALAST-WC1,2019-10-07,Nitrate,0.061,mg/L
OGLALAST-WR1,2019-08-19,Nitrate,0.379,mg/L
OGLALAST-WK4,2019-09-18,Nitrate,0.13,mg/L
OGLALAST-WR1,2019-10-07,Nitrate,0.257,mg/L
OGLALAST-WR2,2019-10-07,Nitrate,0.276,mg/L
OGLALAST-WK2,2019-10-16,Nitrate,0.417,mg/L
OGLALAST-WCC1,2019-07-30,Nitrate,1.07,mg/L
OGLALAST-WR2,2019-08-19,Nitrate,0.38,mg/L
OGLALAST-WK3,2019-10-16,Nitrate,0.126,mg/L
OGLALAST-WK2,2019-09-17,Nitrate,0.272,mg/L
OGLALAST-WK3,2019-09-17,Nitrate,0.137,mg/L
OGLALAST-WK1,2019-10-16,Nitrate,0.408,mg/L
OGLALAST-PC1,2019-07-22,Nitrate,0.17,mg/L
OGLALAST-WK1,2019-05-15,Nitrate,0.222,mg/L
OGLALAST-PC3,2019-07-22,Nitrate,0.056,mg/L
OGLALAST-WCC2,2019-08-19,Nitrate,1.13,mg/L
